,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,159575,AAA Batteries (4-pack),1,2.99,02/12/19 22:21,"807 Johnson St, San Francisco, CA 94016"
1,159576,AAA Batteries (4-pack),1,2.99,02/17/19 19:09,"303 Highland St, New York City, NY 10001"
2,159576,AAA Batteries (4-pack),1,2.99,02/17/19 19:09,"303 Highland St, New York City, NY 10001"
3,159577,AAA Batteries (4-pack),2,2.99,02/03/19 22:49,"74 Meadow St, San Francisco, CA 94016"
4,159578,USB-C Charging Cable,1,11.95,02/16/19 04:13,"483 9th St, San Francisco, CA 94016"
5,159579,AA Batteries (4-pack),1,3.84,02/09/19 20:52,"703 11th St, Portland, OR 97035"
6,159580,Lightning Charging Cable,1,14.95,02/23/19 15:08,"958 Washington St, Portland, OR 97035"
7,159581,AAA Batteries (4-pack),2,2.99,02/15/19 18:47,"969 Lincoln St, San Francisco, CA 94016"
8,159582,Wired Headphones,1,11.99,02/21/19 23:09,"293 Forest St, San Francisco, CA 94016"
9,159583,Wired Headphones,1,11.99,02/16/19 14:36,"303 9th St, Dallas, TX 75001"
10,159584,AAA Batteries (4-pack),2,2.99,02/18/19 22:06,"753 Washington St, Austin, TX 73301"
11,159585,AAA Batteries (4-pack),1,2.99,02/24/19 13:24,"768 Madison St, Seattle, WA 98101"
12,159586,AA Batteries (4-pack),1,3.84,02/26/19 23:18,"881 Walnut St, Seattle, WA 98101"
13,159587,USB-C Charging Cable,1,11.95,02/24/19 17:38,"556 Hill St, Seattle, WA 98101"
14,159588,Wired Headphones,1,11.99,02/16/19 12:49,"815 Church St, Los Angeles, CA 90001"
15,159589,27in FHD Monitor,1,149.99,02/03/19 00:01,"578 Hickory St, Los Angeles, CA 90001"
16,159590,Apple Airpods Headphones,1,150.0,02/19/19 15:32,"190 9th St, Los Angeles, CA 90001"
17,159591,27in FHD Monitor,1,149.99,02/08/19 11:53,"964 Meadow St, Dallas, TX 75001"
18,159592,27in FHD Monitor,1,149.99,02/06/19 14:07,"355 Pine St, Seattle, WA 98101"
19,159593,Lightning Charging Cable,1,14.95,02/17/19 19:04,"540 Pine St, New York City, NY 10001"
20,159594,AA Batteries (4-pack),3,3.84,02/10/19 17:21,"690 Walnut St, New York City, NY 10001"
21,159595,27in FHD Monitor,1,149.99,02/01/19 12:03,"272 Church St, San Francisco, CA 94016"
22,159596,AA Batteries (4-pack),2,3.84,02/16/19 18:54,"912 6th St, San Francisco, CA 94016"
23,159597,USB-C Charging Cable,1,11.95,03/01/19 03:22,"594 South St, Boston, MA 02215"
24,159598,27in FHD Monitor,1,149.99,02/18/19 09:49,"567 Sunset St, San Francisco, CA 94016"
25,159599,Apple Airpods Headphones,1,150.0,02/17/19 17:02,"941 7th St, Portland, ME 04101"
26,159600,27in 4K Gaming Monitor,1,389.99,02/14/19 16:30,"490 3rd St, San Francisco, CA 94016"
27,159601,iPhone,1,700.0,02/02/19 02:30,"552 4th St, Portland, OR 97035"
28,159602,USB-C Charging Cable,1,11.95,02/27/19 19:53,"661 River St, Los Angeles, CA 90001"
29,159603,Apple Airpods Headphones,1,150.0,02/11/19 22:11,"144 5th St, Dallas, TX 75001"
30,159604,iPhone,1,700.0,02/19/19 11:19,"926 Maple St, San Francisco, CA 94016"
31,159605,USB-C Charging Cable,1,11.95,02/27/19 21:23,"738 Washington St, Los Angeles, CA 90001"
32,159606,Bose SoundSport Headphones,1,99.99,02/01/19 15:09,"64 Cedar St, Atlanta, GA 30301"
33,159607,Wired Headphones,1,11.99,02/13/19 14:52,"656 Pine St, Boston, MA 02215"
34,159608,27in 4K Gaming Monitor,1,389.99,02/07/19 14:41,"403 Willow St, Boston, MA 02215"
35,159609,Apple Airpods Headphones,1,150.0,02/24/19 19:54,"717 North St, Dallas, TX 75001"
36,159610,Lightning Charging Cable,1,14.95,02/18/19 20:27,"694 North St, San Francisco, CA 94016"
37,159611,AAA Batteries (4-pack),1,2.99,02/24/19 16:55,"52 Cherry St, San Francisco, CA 94016"
38,159612,Lightning Charging Cable,1,14.95,02/19/19 09:08,"867 Washington St, Portland, OR 97035"
39,159613,Wired Headphones,1,11.99,02/26/19 16:29,"84 Ridge St, San Francisco, CA 94016"
40,159614,Apple Airpods Headphones,1,150.0,02/11/19 09:45,"792 Dogwood St, New York City, NY 10001"
41,159615,Lightning Charging Cable,1,14.95,02/26/19 14:04,"896 12th St, Dallas, TX 75001"
42,159616,iPhone,1,700.0,02/09/19 13:34,"398 Cedar St, Los Angeles, CA 90001"
43,159617,AA Batteries (4-pack),1,3.84,02/28/19 08:42,"26 West St, San Francisco, CA 94016"
44,159618,AA Batteries (4-pack),1,3.84,02/14/19 08:51,"344 Meadow St, Boston, MA 02215"
45,159619,AA Batteries (4-pack),1,3.84,02/20/19 12:19,"532 Maple St, Austin, TX 73301"
46,159620,Wired Headphones,1,11.99,02/07/19 13:32,"48 Elm St, Portland, OR 97035"
47,159620,Wired Headphones,1,11.99,02/07/19 13:32,"48 Elm St, Portland, OR 97035"
48,159621,AA Batteries (4-pack),1,3.84,02/07/19 15:46,"813 Johnson St, New York City, NY 10001"
49,159622,AA Batteries (4-pack),1,3.84,02/13/19 18:51,"685 Ridge St, Boston, MA 02215"
50,159623,USB-C Charging Cable,1,11.95,02/16/19 16:38,"37 2nd St, Los Angeles, CA 90001"
51,159624,AA Batteries (4-pack),2,3.84,02/26/19 10:41,"167 River St, San Francisco, CA 94016"
52,159625,Apple Airpods Headphones,1,150.0,02/03/19 09:06,"584 North St, Boston, MA 02215"
53,159626,Bose SoundSport Headphones,1,99.99,02/20/19 21:36,"958 Ridge St, San Francisco, CA 94016"
54,159627,Bose SoundSport Headphones,1,99.99,02/22/19 13:46,"110 3rd St, San Francisco, CA 94016"
55,159628,ThinkPad Laptop,1,999.99,02/22/19 12:10,"246 Center St, Boston, MA 02215"
56,159629,Apple Airpods Headphones,1,150.0,02/21/19 11:48,"377 Sunset St, Boston, MA 02215"
57,159630,34in Ultrawide Monitor,1,379.99,02/14/19 12:06,"552 Highland St, Boston, MA 02215"
58,159631,Lightning Charging Cable,1,14.95,02/25/19 08:32,"16 Cherry St, Los Angeles, CA 90001"
59,159632,Apple Airpods Headphones,1,150.0,02/27/19 10:16,"651 Pine St, Austin, TX 73301"
60,159633,Apple Airpods Headphones,1,150.0,02/02/19 22:42,"787 Oak St, New York City, NY 10001"
61,159634,Wired Headphones,1,11.99,02/07/19 13:37,"567 Spruce St, Austin, TX 73301"
62,159635,AA Batteries (4-pack),1,3.84,02/26/19 12:31,"929 Wilson St, New York City, NY 10001"
63,159636,Lightning Charging Cable,1,14.95,02/24/19 19:12,"756 12th St, Dallas, TX 75001"
64,159637,AAA Batteries (4-pack),1,2.99,02/13/19 10:08,"721 Washington St, New York City, NY 10001"
65,159638,USB-C Charging Cable,1,11.95,02/11/19 10:06,"126 Jackson St, Portland, OR 97035"
66,159639,Wired Headphones,1,11.99,02/13/19 12:48,"894 Cherry St, San Francisco, CA 94016"
67,159640,AAA Batteries (4-pack),1,2.99,02/04/19 15:41,"722 Hickory St, Seattle, WA 98101"
68,159641,Bose SoundSport Headphones,1,99.99,02/01/19 14:13,"311 8th St, New York City, NY 10001"
69,159642,27in 4K Gaming Monitor,1,389.99,02/13/19 22:57,"828 South St, Los Angeles, CA 90001"
70,159643,Macbook Pro Laptop,1,1700.0,02/17/19 10:47,"342 5th St, San Francisco, CA 94016"
71,159644,USB-C Charging Cable,1,11.95,02/14/19 11:59,"274 13th St, Portland, OR 97035"
72,159645,20in Monitor,1,109.99,02/21/19 10:10,"672 Pine St, San Francisco, CA 94016"
73,159646,Bose SoundSport Headphones,1,99.99,02/16/19 10:56,"317 Elm St, Boston, MA 02215"
74,159647,Wired Headphones,1,11.99,02/17/19 18:58,"319 Chestnut St, San Francisco, CA 94016"
75,159648,Apple Airpods Headphones,1,150.0,02/03/19 22:51,"534 Cedar St, Portland, OR 97035"
76,159649,Wired Headphones,1,11.99,02/26/19 08:03,"873 Cedar St, Boston, MA 02215"
77,159650,Google Phone,1,600.0,02/20/19 13:12,"697 Sunset St, Los Angeles, CA 90001"
78,159651,AAA Batteries (4-pack),2,2.99,02/06/19 07:30,"756 Main St, Dallas, TX 75001"
79,159652,AA Batteries (4-pack),1,3.84,02/26/19 18:02,"945 Lincoln St, Portland, OR 97035"
80,159653,Flatscreen TV,1,300.0,02/22/19 15:57,"473 8th St, Portland, OR 97035"
81,159654,Apple Airpods Headphones,1,150.0,02/01/19 06:13,"210 Church St, New York City, NY 10001"
82,159655,iPhone,1,700.0,02/01/19 14:10,"88 Meadow St, San Francisco, CA 94016"
83,159656,AAA Batteries (4-pack),1,2.99,02/06/19 14:45,"411 Church St, San Francisco, CA 94016"
84,159657,AA Batteries (4-pack),1,3.84,02/21/19 17:58,"816 Maple St, Seattle, WA 98101"
85,159658,Lightning Charging Cable,1,14.95,02/22/19 20:28,"530 13th St, New York City, NY 10001"
86,159659,AA Batteries (4-pack),3,3.84,02/22/19 20:57,"844 Center St, Portland, OR 97035"
87,159660,Vareebadd Phone,1,400.0,02/08/19 16:45,"143 Adams St, Boston, MA 02215"
88,159661,AA Batteries (4-pack),1,3.84,02/26/19 09:07,"708 Cherry St, San Francisco, CA 94016"
89,159662,Bose SoundSport Headphones,1,99.99,02/24/19 19:46,"899 Church St, San Francisco, CA 94016"
90,159663,AAA Batteries (4-pack),1,2.99,02/17/19 17:07,"225 Willow St, San Francisco, CA 94016"
91,159664,AA Batteries (4-pack),2,3.84,02/18/19 10:28,"294 Oak St, Los Angeles, CA 90001"
92,159665,20in Monitor,1,109.99,02/14/19 21:56,"984 Lincoln St, Los Angeles, CA 90001"
93,159666,27in FHD Monitor,1,149.99,02/20/19 23:29,"817 Washington St, San Francisco, CA 94016"
94,159667,Bose SoundSport Headphones,1,99.99,02/24/19 21:31,"112 Cedar St, San Francisco, CA 94016"
95,159668,USB-C Charging Cable,1,11.95,02/03/19 23:29,"173 13th St, Los Angeles, CA 90001"
96,159669,AAA Batteries (4-pack),1,2.99,02/21/19 21:10,"441 1st St, San Francisco, CA 94016"
97,159670,27in FHD Monitor,1,149.99,02/18/19 15:00,"817 Jefferson St, San Francisco, CA 94016"
98,159671,Lightning Charging Cable,1,14.95,02/10/19 09:36,"461 3rd St, Boston, MA 02215"
99,159672,Bose SoundSport Headphones,1,99.99,02/11/19 11:20,"788 West St, San Francisco, CA 94016"
100,159673,Wired Headphones,2,11.99,02/19/19 15:00,"271 Jackson St, Atlanta, GA 30301"
101,159674,ThinkPad Laptop,1,999.99,02/24/19 11:52,"752 8th St, Boston, MA 02215"
102,159675,Macbook Pro Laptop,1,1700.0,02/08/19 13:43,"932 Church St, Los Angeles, CA 90001"
103,159676,ThinkPad Laptop,1,999.99,02/01/19 16:36,"296 3rd St, Portland, OR 97035"
104,159677,27in 4K Gaming Monitor,1,389.99,02/22/19 13:52,"6 Pine St, New York City, NY 10001"
105,159678,20in Monitor,1,109.99,02/19/19 12:43,"146 Ridge St, San Francisco, CA 94016"
106,159679,Macbook Pro Laptop,1,1700.0,02/13/19 19:22,"615 Cedar St, Seattle, WA 98101"
107,159680,iPhone,1,700.0,02/04/19 05:41,"964 Spruce St, San Francisco, CA 94016"
108,159681,Wired Headphones,2,11.99,02/26/19 20:31,"306 10th St, Los Angeles, CA 90001"
109,159682,USB-C Charging Cable,1,11.95,02/14/19 18:22,"856 11th St, Dallas, TX 75001"
110,159683,Flatscreen TV,1,300.0,02/26/19 00:41,"400 Hill St, New York City, NY 10001"
111,159684,Lightning Charging Cable,1,14.95,02/28/19 19:04,"588 Johnson St, Boston, MA 02215"
112,159685,Lightning Charging Cable,1,14.95,02/11/19 11:45,"866 5th St, New York City, NY 10001"
113,159686,20in Monitor,1,109.99,02/16/19 15:43,"152 Lake St, Portland, OR 97035"
114,159687,Lightning Charging Cable,1,14.95,02/10/19 15:55,"328 Chestnut St, Portland, OR 97035"
115,159688,Vareebadd Phone,1,400.0,02/01/19 19:56,"282 13th St, Portland, OR 97035"
116,159688,Wired Headphones,1,11.99,02/01/19 19:56,"282 13th St, Portland, OR 97035"
117,159689,Apple Airpods Headphones,1,150.0,02/24/19 01:35,"99 1st St, Boston, MA 02215"
118,159690,Lightning Charging Cable,1,14.95,02/27/19 00:43,"757 Wilson St, San Francisco, CA 94016"
119,159691,Macbook Pro Laptop,1,1700.0,02/22/19 20:04,"422 6th St, San Francisco, CA 94016"
120,159692,AA Batteries (4-pack),2,3.84,02/28/19 00:52,"737 Jackson St, Boston, MA 02215"
121,159693,27in FHD Monitor,1,149.99,02/05/19 17:43,"710 Johnson St, San Francisco, CA 94016"
122,159694,Bose SoundSport Headphones,1,99.99,02/17/19 06:04,"308 Cedar St, Seattle, WA 98101"
123,159695,34in Ultrawide Monitor,1,379.99,02/28/19 18:32,"252 Elm St, New York City, NY 10001"
124,159696,Bose SoundSport Headphones,1,99.99,02/28/19 14:06,"766 6th St, Los Angeles, CA 90001"
125,159697,Apple Airpods Headphones,1,150.0,02/10/19 11:31,"886 11th St, San Francisco, CA 94016"
126,159698,Google Phone,1,600.0,02/09/19 08:52,"907 6th St, Seattle, WA 98101"
127,159698,Google Phone,1,600.0,02/09/19 08:52,"907 6th St, Seattle, WA 98101"
128,159699,Apple Airpods Headphones,1,150.0,02/05/19 21:47,"551 8th St, New York City, NY 10001"
129,159700,AA Batteries (4-pack),2,3.84,02/28/19 10:15,"382 Sunset St, Los Angeles, CA 90001"
130,159701,USB-C Charging Cable,1,11.95,02/26/19 13:23,"354 9th St, Portland, OR 97035"
131,159702,27in FHD Monitor,1,149.99,02/14/19 10:19,"699 Jefferson St, Dallas, TX 75001"
132,159703,Wired Headphones,1,11.99,02/22/19 12:14,"750 11th St, Los Angeles, CA 90001"
133,159704,Lightning Charging Cable,1,14.95,02/10/19 22:39,"409 1st St, San Francisco, CA 94016"
134,159705,Wired Headphones,1,11.99,02/26/19 14:10,"121 11th St, Dallas, TX 75001"
135,159706,iPhone,1,700.0,02/01/19 20:26,"811 14th St, Los Angeles, CA 90001"
136,159707,27in FHD Monitor,1,149.99,02/23/19 13:51,"709 4th St, San Francisco, CA 94016"
137,159708,USB-C Charging Cable,1,11.95,02/01/19 07:43,"429 Spruce St, New York City, NY 10001"
138,159709,Apple Airpods Headphones,1,150.0,02/09/19 00:30,"890 Willow St, Dallas, TX 75001"
