,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,184869,27in 4K Gaming Monitor,1,389.99,04/08/19 18:04,"86 Meadow St, San Francisco, CA 94016"
1,184870,Wired Headphones,1,11.99,04/10/19 20:15,"333 Jefferson St, New York City, NY 10001"
2,184871,27in 4K Gaming Monitor,1,389.99,04/01/19 19:28,"40 Highland St, Boston, MA 02215"
3,184872,AAA Batteries (4-pack),1,2.99,04/03/19 09:21,"286 6th St, Seattle, WA 98101"
4,184873,AA Batteries (4-pack),1,3.84,04/28/19 12:51,"336 Oak St, San Francisco, CA 94016"
5,184874,Lightning Charging Cable,1,14.95,04/05/19 05:40,"619 Forest St, Dallas, TX 75001"
6,184875,USB-C Charging Cable,1,11.95,04/26/19 09:30,"684 2nd St, Portland, OR 97035"
7,184876,Wired Headphones,1,11.99,04/23/19 23:09,"614 9th St, San Francisco, CA 94016"
8,184877,Apple Airpods Headphones,1,150.0,04/13/19 18:38,"832 Forest St, San Francisco, CA 94016"
9,184878,AAA Batteries (4-pack),1,2.99,04/26/19 15:48,"267 3rd St, Boston, MA 02215"
10,184879,AA Batteries (4-pack),1,3.84,04/20/19 17:35,"239 6th St, Portland, OR 97035"
11,184880,Apple Airpods Headphones,1,150.0,04/05/19 21:23,"128 Lincoln St, New York City, NY 10001"
12,184881,Apple Airpods Headphones,1,150.0,04/23/19 14:37,"298 Hill St, San Francisco, CA 94016"
13,184882,AA Batteries (4-pack),1,3.84,04/30/19 16:14,"688 Maple St, Dallas, TX 75001"
14,184883,34in Ultrawide Monitor,1,379.99,04/01/19 14:37,"602 7th St, San Francisco, CA 94016"
15,184884,Apple Airpods Headphones,1,150.0,04/16/19 17:17,"457 South St, Seattle, WA 98101"
16,184884,Apple Airpods Headphones,1,150.0,04/16/19 17:17,"457 South St, Seattle, WA 98101"
17,184885,AAA Batteries (4-pack),1,2.99,04/07/19 17:47,"944 3rd St, San Francisco, CA 94016"
18,184886,iPhone,1,700.0,04/24/19 10:58,"197 Pine St, Los Angeles, CA 90001"
19,184887,AA Batteries (4-pack),1,3.84,04/06/19 12:31,"807 Ridge St, San Francisco, CA 94016"
20,184888,Lightning Charging Cable,1,14.95,04/01/19 12:44,"173 Maple St, Dallas, TX 75001"
21,184889,27in 4K Gaming Monitor,1,389.99,04/25/19 12:32,"832 14th St, New York City, NY 10001"
22,184890,Bose SoundSport Headphones,1,99.99,04/26/19 12:58,"35 Elm St, San Francisco, CA 94016"
23,184891,AAA Batteries (4-pack),3,2.99,04/10/19 14:10,"922 West St, New York City, NY 10001"
24,184892,AAA Batteries (4-pack),1,2.99,04/29/19 15:56,"333 Cherry St, Los Angeles, CA 90001"
25,184893,Vareebadd Phone,1,400.0,04/08/19 09:07,"370 1st St, Boston, MA 02215"
26,184894,Lightning Charging Cable,1,14.95,04/06/19 11:06,"696 Sunset St, Boston, MA 02215"
27,184895,ThinkPad Laptop,1,999.99,04/26/19 14:54,"621 Forest St, Boston, MA 02215"
28,184896,Bose SoundSport Headphones,1,99.99,04/03/19 11:14,"253 Johnson St, San Francisco, CA 94016"
29,184897,ThinkPad Laptop,1,999.99,04/17/19 17:28,"721 Lakeview St, Atlanta, GA 30301"
30,184898,AAA Batteries (4-pack),1,2.99,04/13/19 19:00,"819 Maple St, Atlanta, GA 30301"
31,184899,Lightning Charging Cable,1,14.95,04/24/19 10:31,"315 Washington St, Dallas, TX 75001"
32,184900,Wired Headphones,1,11.99,04/28/19 13:16,"892 West St, Boston, MA 02215"
33,184901,AAA Batteries (4-pack),2,2.99,04/14/19 15:10,"395 14th St, Seattle, WA 98101"
34,184902,Google Phone,1,600.0,04/07/19 12:40,"761 Oak St, San Francisco, CA 94016"
35,184902,Wired Headphones,2,11.99,04/07/19 12:40,"761 Oak St, San Francisco, CA 94016"
36,184903,Apple Airpods Headphones,1,150.0,04/05/19 11:56,"962 Cedar St, New York City, NY 10001"
37,184903,Apple Airpods Headphones,1,150.0,04/05/19 11:56,"962 Cedar St, New York City, NY 10001"
38,184904,Lightning Charging Cable,1,14.95,04/23/19 13:40,"910 River St, Seattle, WA 98101"
39,184905,Apple Airpods Headphones,1,150.0,04/10/19 00:11,"221 Lincoln St, Dallas, TX 75001"
40,184906,AAA Batteries (4-pack),1,2.99,04/16/19 09:13,"584 Lakeview St, San Francisco, CA 94016"
41,184907,Wired Headphones,1,11.99,04/08/19 10:57,"376 4th St, Los Angeles, CA 90001"
42,184908,20in Monitor,1,109.99,04/25/19 16:05,"787 Elm St, Austin, TX 73301"
43,184909,Apple Airpods Headphones,1,150.0,04/13/19 13:43,"291 Washington St, San Francisco, CA 94016"
44,184910,AA Batteries (4-pack),1,3.84,04/05/19 15:30,"759 Adams St, Austin, TX 73301"
45,184911,34in Ultrawide Monitor,1,379.99,04/28/19 18:56,"99 Oak St, Seattle, WA 98101"
46,184912,AA Batteries (4-pack),1,3.84,04/06/19 21:42,"730 Jackson St, Los Angeles, CA 90001"
47,184912,AA Batteries (4-pack),1,3.84,04/06/19 21:42,"730 Jackson St, Los Angeles, CA 90001"
48,184913,Lightning Charging Cable,1,14.95,04/07/19 09:44,"24 Highland St, Seattle, WA 98101"
49,184914,27in FHD Monitor,1,149.99,04/24/19 22:06,"527 8th St, Seattle, WA 98101"
50,184915,AAA Batteries (4-pack),1,2.99,04/15/19 12:17,"420 Lincoln St, San Francisco, CA 94016"
51,184916,Lightning Charging Cable,1,14.95,04/10/19 20:38,"724 Church St, Los Angeles, CA 90001"
52,184917,Bose SoundSport Headphones,1,99.99,04/04/19 14:49,"32 Meadow St, San Francisco, CA 94016"
53,184918,AAA Batteries (4-pack),1,2.99,04/08/19 14:07,"217 West St, Los Angeles, CA 90001"
54,184919,Wired Headphones,1,11.99,04/07/19 16:06,"898 1st St, Seattle, WA 98101"
55,184920,Wired Headphones,1,11.99,04/17/19 15:41,"401 North St, New York City, NY 10001"
