,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,211337,Lightning Charging Cable,1,14.95,06/11/19 00:29,"108 Pine St, Austin, TX 73301"
1,211338,AA Batteries (4-pack),3,3.84,06/02/19 12:58,"595 Elm St, San Francisco, CA 94016"
2,211339,Apple Airpods Headphones,1,150.0,06/19/19 00:17,"952 2nd St, Los Angeles, CA 90001"
3,211340,Wired Headphones,1,11.99,06/02/19 11:06,"7 Cedar St, Los Angeles, CA 90001"
4,211341,Apple Airpods Headphones,1,150.0,06/11/19 16:24,"945 Church St, San Francisco, CA 94016"
5,211342,AAA Batteries (4-pack),1,2.99,06/05/19 22:56,"400 North St, Atlanta, GA 30301"
6,211343,Bose SoundSport Headphones,1,99.99,06/25/19 19:48,"149 Chestnut St, Los Angeles, CA 90001"
7,211344,iPhone,1,700.0,06/03/19 14:49,"926 Jefferson St, Los Angeles, CA 90001"
8,211345,AA Batteries (4-pack),1,3.84,06/04/19 16:37,"777 11th St, Los Angeles, CA 90001"
9,211346,LG Dryer,1,600.0,06/27/19 22:04,"181 Washington St, Los Angeles, CA 90001"
10,211347,AAA Batteries (4-pack),1,2.99,06/14/19 07:40,"562 Adams St, San Francisco, CA 94016"
11,211348,Apple Airpods Headphones,1,150.0,06/08/19 22:24,"590 8th St, New York City, NY 10001"
12,211349,Bose SoundSport Headphones,1,99.99,06/18/19 13:29,"590 Jackson St, Boston, MA 02215"
13,211350,Wired Headphones,1,11.99,06/10/19 22:06,"673 Dogwood St, Los Angeles, CA 90001"
14,211351,AA Batteries (4-pack),1,3.84,06/07/19 13:20,"275 Elm St, Boston, MA 02215"
15,211352,Flatscreen TV,1,300.0,06/22/19 15:54,"478 4th St, San Francisco, CA 94016"
16,211353,Bose SoundSport Headphones,1,99.99,06/03/19 12:17,"420 7th St, Austin, TX 73301"
17,211354,USB-C Charging Cable,1,11.95,06/26/19 12:49,"182 Lakeview St, San Francisco, CA 94016"
18,211355,AA Batteries (4-pack),1,3.84,06/27/19 18:13,"686 Madison St, New York City, NY 10001"
19,211356,Lightning Charging Cable,1,14.95,06/08/19 11:12,"975 West St, Los Angeles, CA 90001"
20,211357,Wired Headphones,1,11.99,06/21/19 13:59,"719 Oak St, New York City, NY 10001"
21,211358,AA Batteries (4-pack),1,3.84,06/24/19 14:13,"729 5th St, Atlanta, GA 30301"
22,211359,AAA Batteries (4-pack),1,2.99,06/01/19 16:02,"465 5th St, Seattle, WA 98101"
23,211360,Bose SoundSport Headphones,1,99.99,06/14/19 09:14,"220 5th St, Portland, ME 04101"
24,211361,AAA Batteries (4-pack),1,2.99,06/12/19 15:32,"750 Dogwood St, New York City, NY 10001"
25,211362,Apple Airpods Headphones,1,150.0,06/26/19 11:08,"619 South St, Boston, MA 02215"
26,211363,USB-C Charging Cable,1,11.95,06/07/19 05:59,"778 14th St, New York City, NY 10001"
27,211364,USB-C Charging Cable,2,11.95,06/26/19 15:21,"797 Jackson St, Austin, TX 73301"
28,211365,Vareebadd Phone,1,400.0,06/01/19 15:25,"403 11th St, Portland, OR 97035"
29,211366,iPhone,1,700.0,06/11/19 21:03,"81 9th St, Seattle, WA 98101"
30,211367,Flatscreen TV,1,300.0,06/13/19 11:11,"80 Church St, San Francisco, CA 94016"
31,211368,Apple Airpods Headphones,1,150.0,06/10/19 10:57,"844 10th St, Boston, MA 02215"
