,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,224082,AAA Batteries (4-pack),1,2.99,07/01/19 19:05,"865 4th St, San Francisco, CA 94016"
1,224083,AA Batteries (4-pack),1,3.84,07/27/19 13:22,"936 Wilson St, Atlanta, GA 30301"
2,224084,34in Ultrawide Monitor,1,379.99,07/17/19 16:55,"86 Maple St, Seattle, WA 98101"
3,224085,20in Monitor,1,109.99,07/28/19 16:45,"723 Highland St, New York City, NY 10001"
4,224086,Apple Airpods Headphones,1,150.0,07/31/19 02:00,"857 Pine St, Boston, MA 02215"
5,224087,Wired Headphones,1,11.99,07/10/19 13:35,"495 11th St, San Francisco, CA 94016"
6,224087,Wired Headphones,1,11.99,07/10/19 13:35,"495 11th St, San Francisco, CA 94016"
7,224088,27in 4K Gaming Monitor,1,389.99,07/29/19 10:41,"315 10th St, Los Angeles, CA 90001"
8,224089,AAA Batteries (4-pack),2,2.99,07/21/19 14:03,"959 Willow St, San Francisco, CA 94016"
9,224090,Lightning Charging Cable,1,14.95,07/31/19 18:29,"337 Oak St, San Francisco, CA 94016"
10,224091,27in FHD Monitor,1,149.99,07/06/19 07:59,"353 13th St, San Francisco, CA 94016"
11,224092,AA Batteries (4-pack),1,3.84,07/10/19 18:07,"500 Spruce St, Boston, MA 02215"
12,224093,Apple Airpods Headphones,1,150.0,07/31/19 05:31,"527 Maple St, Portland, ME 04101"
13,224094,iPhone,1,700.0,07/15/19 18:20,"583 North St, Los Angeles, CA 90001"
14,224095,USB-C Charging Cable,1,11.95,07/22/19 16:59,"301 Meadow St, Portland, OR 97035"
15,224096,AAA Batteries (4-pack),1,2.99,07/13/19 05:51,"130 13th St, Los Angeles, CA 90001"
16,224097,Wired Headphones,1,11.99,07/26/19 00:40,"978 11th St, Los Angeles, CA 90001"
17,224098,AAA Batteries (4-pack),1,2.99,07/07/19 20:37,"949 2nd St, Boston, MA 02215"
18,224099,AA Batteries (4-pack),1,3.84,07/08/19 14:16,"811 Wilson St, San Francisco, CA 94016"
