,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,233224,AA Batteries (4-pack),1,3.84,08/28/19 12:44,"668 Sunset St, Boston, MA 02215"
1,233225,LG Dryer,1,600.0,08/03/19 08:08,"522 13th St, New York City, NY 10001"
2,233226,AA Batteries (4-pack),1,3.84,08/20/19 19:07,"427 River St, San Francisco, CA 94016"
3,233227,AA Batteries (4-pack),1,3.84,08/16/19 15:07,"426 Adams St, San Francisco, CA 94016"
4,233228,Wired Headphones,1,11.99,08/24/19 14:45,"97 Maple St, Atlanta, GA 30301"
5,233229,AA Batteries (4-pack),2,3.84,08/16/19 12:29,"373 3rd St, San Francisco, CA 94016"
6,233230,Wired Headphones,1,11.99,08/03/19 19:12,"569 Sunset St, Portland, OR 97035"
7,233231,AAA Batteries (4-pack),1,2.99,08/22/19 18:23,"333 West St, New York City, NY 10001"
8,233232,27in FHD Monitor,1,149.99,08/30/19 15:12,"987 Washington St, New York City, NY 10001"
9,233233,Wired Headphones,1,11.99,08/21/19 13:04,"975 Elm St, Atlanta, GA 30301"
10,233234,USB-C Charging Cable,1,11.95,08/26/19 13:01,"607 Elm St, Boston, MA 02215"
11,233235,34in Ultrawide Monitor,1,379.99,08/26/19 09:01,"340 1st St, Boston, MA 02215"
12,233236,AA Batteries (4-pack),1,3.84,08/24/19 14:41,"477 12th St, Atlanta, GA 30301"
13,233237,Apple Airpods Headphones,1,150.0,08/02/19 17:56,"85 North St, New York City, NY 10001"
14,233238,Wired Headphones,1,11.99,08/26/19 15:08,"402 Meadow St, Los Angeles, CA 90001"
15,233239,Lightning Charging Cable,1,14.95,08/04/19 18:55,"141 Dogwood St, Atlanta, GA 30301"
16,233240,Wired Headphones,1,11.99,08/15/19 23:26,"736 14th St, Boston, MA 02215"
17,233241,Google Phone,1,600.0,08/04/19 12:24,"774 14th St, Los Angeles, CA 90001"
18,233242,USB-C Charging Cable,1,11.95,08/24/19 16:15,"83 9th St, Portland, OR 97035"
19,233243,27in FHD Monitor,1,149.99,08/16/19 16:17,"841 Center St, San Francisco, CA 94016"
20,233244,iPhone,1,700.0,08/30/19 22:33,"335 Washington St, Boston, MA 02215"
21,233245,Apple Airpods Headphones,1,150.0,08/21/19 17:41,"909 Elm St, Seattle, WA 98101"
22,233246,27in 4K Gaming Monitor,1,389.99,08/27/19 10:53,"978 South St, Los Angeles, CA 90001"
23,233247,34in Ultrawide Monitor,1,379.99,08/30/19 08:36,"9 Center St, Los Angeles, CA 90001"
24,233248,Google Phone,1,600.0,08/23/19 07:25,"502 Hill St, Seattle, WA 98101"
25,233248,USB-C Charging Cable,1,11.95,08/23/19 07:25,"502 Hill St, Seattle, WA 98101"
