,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,244673,Apple Airpods Headphones,1,150,09/27/19 17:37,"16 Maple St, San Francisco, CA 94016"
1,244674,AA Batteries (4-pack),1,3.84,09/19/19 15:46,"301 South St, Atlanta, GA 30301"
2,244675,AA Batteries (4-pack),1,3.84,09/16/19 15:12,"877 Pine St, San Francisco, CA 94016"
3,244676,AA Batteries (4-pack),1,3.84,09/19/19 13:35,"206 Willow St, New York City, NY 10001"
4,244677,Lightning Charging Cable,1,14.95,09/04/19 15:44,"17 7th St, New York City, NY 10001"
5,244678,USB-C Charging Cable,1,11.95,09/22/19 15:35,"214 11th St, San Francisco, CA 94016"
6,244679,ThinkPad Laptop,1,999.99,09/26/19 15:12,"329 Lake St, Boston, MA 02215"
7,244680,Wired Headphones,1,11.99,09/15/19 13:43,"266 14th St, Boston, MA 02215"
8,244681,Wired Headphones,1,11.99,09/06/19 09:48,"828 9th St, San Francisco, CA 94016"
9,244682,20in Monitor,1,109.99,09/27/19 10:49,"848 Church St, Boston, MA 02215"
10,244683,Lightning Charging Cable,1,14.95,09/23/19 14:07,"817 Maple St, Los Angeles, CA 90001"
11,244684,AA Batteries (4-pack),1,3.84,09/23/19 09:54,"139 Elm St, Atlanta, GA 30301"
12,244684,AA Batteries (4-pack),1,3.84,09/23/19 09:54,"139 Elm St, Atlanta, GA 30301"
13,244685,iPhone,1,700,09/25/19 12:25,"409 Forest St, Portland, OR 97035"
14,244686,AAA Batteries (4-pack),2,2.99,09/22/19 08:29,"311 Center St, San Francisco, CA 94016"
15,244687,Wired Headphones,1,11.99,09/29/19 22:17,"855 Lake St, San Francisco, CA 94016"
16,244688,AAA Batteries (4-pack),1,2.99,09/17/19 12:06,"480 Maple St, Portland, OR 97035"
17,244689,AAA Batteries (4-pack),1,2.99,09/23/19 18:42,"752 Chestnut St, New York City, NY 10001"
18,244690,27in FHD Monitor,1,149.99,09/17/19 11:55,"92 3rd St, Boston, MA 02215"
19,244691,Lightning Charging Cable,1,14.95,09/13/19 18:53,"861 Wilson St, San Francisco, CA 94016"
20,244692,Lightning Charging Cable,1,14.95,09/23/19 16:16,"855 Johnson St, San Francisco, CA 94016"
21,244693,USB-C Charging Cable,1,11.95,09/24/19 09:21,"490 2nd St, Boston, MA 02215"
22,244694,Apple Airpods Headphones,1,150,09/25/19 13:13,"709 North St, Portland, OR 97035"
23,244695,27in 4K Gaming Monitor,1,389.99,09/11/19 13:49,"796 Spruce St, Dallas, TX 75001"
24,244696,Bose SoundSport Headphones,1,99.99,09/21/19 12:47,"250 Cedar St, San Francisco, CA 94016"
25,244697,Lightning Charging Cable,1,14.95,09/20/19 09:16,"705 Lincoln St, San Francisco, CA 94016"
26,244698,27in 4K Gaming Monitor,1,389.99,09/10/19 11:58,"837 Church St, Dallas, TX 75001"
27,244699,Wired Headphones,2,11.99,09/04/19 17:25,"583 Lincoln St, Atlanta, GA 30301"
28,244700,27in FHD Monitor,1,149.99,09/09/19 17:12,"181 Chestnut St, Atlanta, GA 30301"
29,244701,Apple Airpods Headphones,1,150,09/29/19 06:39,"170 Sunset St, Dallas, TX 75001"
30,244702,USB-C Charging Cable,1,11.95,09/27/19 14:18,"987 Church St, San Francisco, CA 94016"
31,244703,34in Ultrawide Monitor,1,379.99,09/16/19 10:54,"549 Oak St, Seattle, WA 98101"
32,244704,AAA Batteries (4-pack),3,2.99,09/09/19 21:53,"998 Meadow St, San Francisco, CA 94016"
33,244705,AA Batteries (4-pack),1,3.84,09/01/19 23:24,"949 1st St, New York City, NY 10001"
34,244706,27in FHD Monitor,1,149.99,09/27/19 00:11,"453 Dogwood St, San Francisco, CA 94016"
35,244707,Apple Airpods Headphones,1,150,09/15/19 15:23,"631 Cherry St, San Francisco, CA 94016"
36,244708,USB-C Charging Cable,1,11.95,09/30/19 08:36,"526 North St, San Francisco, CA 94016"
37,244709,ThinkPad Laptop,1,999.99,09/19/19 12:32,"365 Highland St, New York City, NY 10001"
38,244710,Apple Airpods Headphones,1,150,09/22/19 18:49,"752 10th St, San Francisco, CA 94016"
39,244711,AAA Batteries (4-pack),1,2.99,09/04/19 21:31,"159 3rd St, Atlanta, GA 30301"
40,244712,20in Monitor,1,109.99,09/15/19 12:54,"313 Johnson St, Los Angeles, CA 90001"
