,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,171059,Wired Headphones,1,11.99,03/20/19 10:28,"922 2nd St, New York City, NY 10001"
1,171060,27in FHD Monitor,1,149.99,03/20/19 20:49,"411 Pine St, San Francisco, CA 94016"
2,171061,LG Dryer,1,600.0,03/09/19 08:38,"240 Hill St, San Francisco, CA 94016"
3,171062,AA Batteries (4-pack),1,3.84,03/29/19 12:20,"227 South St, San Francisco, CA 94016"
4,171063,USB-C Charging Cable,1,11.95,03/19/19 00:12,"637 North St, Portland, OR 97035"
5,171063,USB-C Charging Cable,1,11.95,03/19/19 00:12,"637 North St, Portland, OR 97035"
6,171064,USB-C Charging Cable,1,11.95,03/28/19 15:02,"662 2nd St, Boston, MA 02215"
7,171065,Wired Headphones,1,11.99,03/24/19 13:22,"279 12th St, Dallas, TX 75001"
8,171066,Apple Airpods Headphones,1,150.0,03/06/19 14:21,"645 Johnson St, Los Angeles, CA 90001"
9,171067,Bose SoundSport Headphones,1,99.99,03/24/19 19:37,"4 Adams St, Atlanta, GA 30301"
10,171068,Lightning Charging Cable,1,14.95,03/05/19 16:07,"286 Elm St, Los Angeles, CA 90001"
11,171069,Flatscreen TV,1,300.0,03/21/19 20:12,"123 Meadow St, Boston, MA 02215"
12,171070,Apple Airpods Headphones,1,150.0,03/16/19 10:57,"300 11th St, San Francisco, CA 94016"
13,171071,USB-C Charging Cable,1,11.95,03/07/19 16:39,"697 West St, Boston, MA 02215"
14,171072,Lightning Charging Cable,1,14.95,03/01/19 20:45,"703 River St, New York City, NY 10001"
15,171073,iPhone,1,700.0,03/25/19 17:35,"317 River St, San Francisco, CA 94016"
16,171074,AAA Batteries (4-pack),1,2.99,03/30/19 22:27,"284 Main St, Austin, TX 73301"
17,171075,USB-C Charging Cable,1,11.95,03/11/19 12:50,"136 Cedar St, Dallas, TX 75001"
18,171076,34in Ultrawide Monitor,1,379.99,03/10/19 20:57,"690 9th St, San Francisco, CA 94016"
19,171077,ThinkPad Laptop,1,999.99,03/07/19 17:45,"899 3rd St, Boston, MA 02215"
20,171078,Google Phone,1,600.0,03/13/19 13:23,"575 Willow St, San Francisco, CA 94016"
21,171079,AAA Batteries (4-pack),1,2.99,03/20/19 15:21,"537 Ridge St, Seattle, WA 98101"
