,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,203461,Wired Headphones,1,11.99,05/04/19 14:55,"979 Cherry St, San Francisco, CA 94016"
1,203462,ThinkPad Laptop,1,999.99,05/03/19 21:53,"159 1st St, New York City, NY 10001"
2,203463,Wired Headphones,1,11.99,05/26/19 06:57,"539 Chestnut St, San Francisco, CA 94016"
3,203464,34in Ultrawide Monitor,1,379.99,05/19/19 12:55,"345 Chestnut St, New York City, NY 10001"
4,203465,Bose SoundSport Headphones,1,99.99,05/10/19 23:21,"352 Dogwood St, New York City, NY 10001"
5,203466,34in Ultrawide Monitor,1,379.99,05/02/19 19:59,"539 2nd St, Los Angeles, CA 90001"
6,203467,Lightning Charging Cable,1,14.95,05/13/19 21:41,"309 Elm St, Seattle, WA 98101"
7,203468,Bose SoundSport Headphones,1,99.99,05/10/19 11:21,"297 Jefferson St, San Francisco, CA 94016"
8,203469,AA Batteries (4-pack),1,3.84,05/01/19 22:14,"332 Washington St, New York City, NY 10001"
9,203470,AA Batteries (4-pack),1,3.84,05/14/19 20:00,"159 Cedar St, San Francisco, CA 94016"
10,203471,Wired Headphones,1,11.99,05/02/19 10:45,"767 Spruce St, San Francisco, CA 94016"
11,203472,Bose SoundSport Headphones,1,99.99,05/31/19 15:25,"858 Meadow St, San Francisco, CA 94016"
12,203473,Apple Airpods Headphones,1,150.0,05/31/19 03:39,"490 5th St, San Francisco, CA 94016"
13,203474,AAA Batteries (4-pack),1,2.99,05/19/19 15:17,"547 Wilson St, Portland, OR 97035"
14,203475,Wired Headphones,1,11.99,05/08/19 15:28,"221 Lakeview St, Dallas, TX 75001"
15,203476,34in Ultrawide Monitor,1,379.99,05/17/19 11:24,"115 5th St, Boston, MA 02215"
16,203477,Lightning Charging Cable,1,14.95,05/17/19 19:40,"566 Forest St, Atlanta, GA 30301"
17,203478,AA Batteries (4-pack),1,3.84,05/23/19 14:28,"374 Dogwood St, Boston, MA 02215"
18,203479,iPhone,1,700.0,05/09/19 12:04,"76 6th St, San Francisco, CA 94016"
19,203480,Wired Headphones,2,11.99,05/14/19 18:26,"489 Cherry St, Seattle, WA 98101"
20,203481,ThinkPad Laptop,1,999.99,05/06/19 22:17,"612 Willow St, Boston, MA 02215"
21,203482,Apple Airpods Headphones,1,150.0,05/28/19 00:54,"420 6th St, Los Angeles, CA 90001"
22,203483,Apple Airpods Headphones,1,150.0,05/09/19 14:11,"427 Jackson St, Los Angeles, CA 90001"
23,203484,Lightning Charging Cable,1,14.95,05/15/19 10:16,"497 Main St, Seattle, WA 98101"
24,203485,Bose SoundSport Headphones,1,99.99,05/16/19 10:16,"596 4th St, Boston, MA 02215"
25,203486,Lightning Charging Cable,1,14.95,05/03/19 13:27,"598 13th St, Boston, MA 02215"
26,203487,27in FHD Monitor,1,149.99,05/19/19 12:48,"854 South St, New York City, NY 10001"
27,203488,Wired Headphones,1,11.99,05/16/19 10:40,"663 4th St, San Francisco, CA 94016"
28,203489,Wired Headphones,1,11.99,05/28/19 23:48,"292 12th St, San Francisco, CA 94016"
29,203490,Lightning Charging Cable,1,14.95,05/20/19 15:30,"695 Adams St, Boston, MA 02215"
30,203491,Bose SoundSport Headphones,1,99.99,05/28/19 14:26,"871 West St, Portland, OR 97035"
31,203492,Apple Airpods Headphones,1,150.0,05/03/19 23:19,"665 5th St, Dallas, TX 75001"
32,203493,Google Phone,1,600.0,05/22/19 23:39,"110 Lincoln St, San Francisco, CA 94016"
33,203494,Lightning Charging Cable,1,14.95,05/22/19 19:24,"84 10th St, New York City, NY 10001"
34,203495,Lightning Charging Cable,1,14.95,05/07/19 12:15,"252 6th St, Los Angeles, CA 90001"
35,203496,27in 4K Gaming Monitor,1,389.99,05/25/19 15:15,"531 14th St, Boston, MA 02215"
36,203497,20in Monitor,1,109.99,05/03/19 13:34,"643 Elm St, Los Angeles, CA 90001"
37,203498,Flatscreen TV,1,300.0,05/18/19 10:28,"38 2nd St, Seattle, WA 98101"
38,203499,Vareebadd Phone,1,400.0,05/01/19 17:48,"206 1st St, San Francisco, CA 94016"
39,203500,Bose SoundSport Headphones,1,99.99,05/25/19 09:17,"742 Lake St, New York City, NY 10001"
40,203501,Apple Airpods Headphones,1,150.0,05/11/19 21:17,"929 8th St, New York City, NY 10001"
41,203502,USB-C Charging Cable,1,11.95,05/06/19 09:58,"724 Johnson St, Los Angeles, CA 90001"
42,203503,Lightning Charging Cable,1,14.95,05/11/19 19:19,"534 Willow St, New York City, NY 10001"
43,203504,Lightning Charging Cable,1,14.95,05/04/19 09:48,"705 4th St, Seattle, WA 98101"
44,203505,AAA Batteries (4-pack),1,2.99,05/05/19 14:36,"300 14th St, Portland, OR 97035"
45,203506,AA Batteries (4-pack),1,3.84,05/16/19 18:22,"779 River St, Boston, MA 02215"
