,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,261111,USB-C Charging Cable,1,11.95,11/08/19 19:28,"273 5th St, Atlanta, GA 30301"
1,261112,Lightning Charging Cable,1,14.95,11/26/19 06:33,"594 1st St, Austin, TX 73301"
2,261113,Bose SoundSport Headphones,1,99.99,11/27/19 10:12,"489 Adams St, New York City, NY 10001"
3,261114,Bose SoundSport Headphones,1,99.99,11/12/19 08:36,"603 Spruce St, Portland, OR 97035"
4,261115,USB-C Charging Cable,1,11.95,11/05/19 19:29,"960 Lakeview St, Seattle, WA 98101"
5,261116,Wired Headphones,1,11.99,11/17/19 09:52,"598 Cedar St, New York City, NY 10001"
6,261117,AAA Batteries (4-pack),1,2.99,11/04/19 13:33,"587 12th St, Portland, OR 97035"
7,261118,Bose SoundSport Headphones,1,99.99,11/25/19 15:18,"541 River St, Seattle, WA 98101"
8,261119,Apple Airpods Headphones,1,150.0,11/16/19 12:51,"616 Jefferson St, New York City, NY 10001"
9,261120,USB-C Charging Cable,1,11.95,11/26/19 17:05,"245 6th St, San Francisco, CA 94016"
10,261121,Google Phone,1,600.0,11/29/19 21:01,"315 Cedar St, San Francisco, CA 94016"
11,261121,USB-C Charging Cable,2,11.95,11/29/19 21:01,"315 Cedar St, San Francisco, CA 94016"
12,261122,Wired Headphones,1,11.99,11/06/19 14:16,"554 5th St, New York City, NY 10001"
13,261123,Apple Airpods Headphones,1,150.0,11/28/19 19:18,"733 9th St, Boston, MA 02215"
14,261124,Flatscreen TV,1,300.0,11/07/19 23:29,"372 12th St, San Francisco, CA 94016"
15,261125,Macbook Pro Laptop,1,1700.0,11/30/19 23:11,"281 4th St, Boston, MA 02215"
16,261126,Lightning Charging Cable,1,14.95,11/17/19 09:30,"323 Lakeview St, Seattle, WA 98101"
17,261127,Google Phone,1,600.0,11/08/19 17:30,"716 Willow St, Atlanta, GA 30301"
18,261128,Apple Airpods Headphones,1,150.0,11/20/19 15:35,"662 Oak St, Los Angeles, CA 90001"
19,261129,USB-C Charging Cable,2,11.95,11/28/19 20:50,"358 Willow St, San Francisco, CA 94016"
20,261130,20in Monitor,1,109.99,11/13/19 13:16,"511 Ridge St, Portland, OR 97035"
21,261131,Wired Headphones,1,11.99,11/18/19 12:16,"18 Sunset St, Dallas, TX 75001"
22,261132,Bose SoundSport Headphones,1,99.99,11/29/19 12:46,"66 Lakeview St, New York City, NY 10001"
23,261133,USB-C Charging Cable,2,11.95,11/28/19 11:54,"215 10th St, Los Angeles, CA 90001"
24,261134,AA Batteries (4-pack),1,3.84,11/06/19 08:42,"831 Johnson St, Portland, OR 97035"
25,261135,Bose SoundSport Headphones,1,99.99,11/17/19 13:31,"731 Forest St, Boston, MA 02215"
26,261136,AA Batteries (4-pack),2,3.84,11/03/19 12:09,"598 Washington St, Dallas, TX 75001"
27,261137,Wired Headphones,1,11.99,11/13/19 06:11,"307 Wilson St, Dallas, TX 75001"
28,261138,AAA Batteries (4-pack),1,2.99,11/08/19 19:30,"466 Dogwood St, Boston, MA 02215"
29,261139,AA Batteries (4-pack),2,3.84,11/25/19 09:10,"115 2nd St, Austin, TX 73301"
30,261140,Lightning Charging Cable,1,14.95,11/09/19 18:04,"596 River St, Dallas, TX 75001"
31,261141,AA Batteries (4-pack),1,3.84,11/10/19 00:22,"559 8th St, San Francisco, CA 94016"
32,261142,Lightning Charging Cable,1,14.95,11/13/19 07:03,"789 South St, New York City, NY 10001"
33,261143,27in 4K Gaming Monitor,1,389.99,11/27/19 20:39,"487 Willow St, Los Angeles, CA 90001"
34,261144,Macbook Pro Laptop,1,1700.0,11/30/19 19:48,"66 14th St, New York City, NY 10001"
35,261145,Bose SoundSport Headphones,1,99.99,11/20/19 23:59,"140 Lakeview St, Boston, MA 02215"
36,261146,Apple Airpods Headphones,1,150.0,11/21/19 19:38,"179 Maple St, Boston, MA 02215"
37,261147,AAA Batteries (4-pack),1,2.99,11/11/19 22:10,"128 2nd St, Portland, ME 04101"
38,261148,27in 4K Gaming Monitor,1,389.99,11/28/19 20:07,"375 Elm St, Seattle, WA 98101"
39,261149,ThinkPad Laptop,1,999.99,11/11/19 14:10,"131 Center St, San Francisco, CA 94016"
40,261150,Bose SoundSport Headphones,1,99.99,11/04/19 23:57,"835 Oak St, San Francisco, CA 94016"
41,261151,Wired Headphones,1,11.99,11/28/19 12:40,"915 Chestnut St, Los Angeles, CA 90001"
