,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
0,252313,Lightning Charging Cable,1,14.95,10/19/19 21:45,"443 Lake St, San Francisco, CA 94016"
1,252314,iPhone,1,700.0,10/16/19 21:15,"905 Forest St, Atlanta, GA 30301"
2,252315,AAA Batteries (4-pack),2,2.99,10/14/19 10:25,"975 14th St, Boston, MA 02215"
3,252316,Wired Headphones,1,11.99,10/17/19 23:00,"837 West St, Austin, TX 73301"
4,252316,Wired Headphones,2,11.99,10/17/19 23:00,"837 West St, Austin, TX 73301"
5,252317,USB-C Charging Cable,1,11.95,10/15/19 19:52,"964 Cedar St, New York City, NY 10001"
6,252318,AA Batteries (4-pack),1,3.84,10/09/19 15:45,"119 River St, New York City, NY 10001"
7,252319,AA Batteries (4-pack),2,3.84,10/03/19 21:20,"238 6th St, Dallas, TX 75001"
8,252320,ThinkPad Laptop,1,999.99,10/01/19 14:41,"307 Willow St, New York City, NY 10001"
9,252321,Flatscreen TV,1,300.0,10/31/19 03:16,"277 9th St, San Francisco, CA 94016"
10,252322,AAA Batteries (4-pack),2,2.99,10/01/19 16:50,"312 Lake St, New York City, NY 10001"
11,252323,Apple Airpods Headphones,1,150.0,10/06/19 14:01,"862 1st St, Seattle, WA 98101"
12,252324,Macbook Pro Laptop,1,1700.0,10/15/19 21:46,"790 Lake St, San Francisco, CA 94016"
13,252325,AAA Batteries (4-pack),1,2.99,10/25/19 14:58,"620 1st St, San Francisco, CA 94016"
14,252326,Bose SoundSport Headphones,1,99.99,10/09/19 20:01,"35 Highland St, Dallas, TX 75001"
15,252327,USB-C Charging Cable,1,11.95,10/21/19 19:03,"791 Oak St, New York City, NY 10001"
16,252328,Macbook Pro Laptop,1,1700.0,10/03/19 19:22,"670 13th St, Los Angeles, CA 90001"
17,252329,Apple Airpods Headphones,1,150.0,10/18/19 14:38,"146 Adams St, New York City, NY 10001"
18,252330,27in FHD Monitor,1,149.99,10/29/19 13:03,"708 Church St, San Francisco, CA 94016"
19,252331,Apple Airpods Headphones,1,150.0,10/01/19 11:23,"986 Dogwood St, Boston, MA 02215"
20,252332,AAA Batteries (4-pack),2,2.99,10/07/19 17:02,"408 Johnson St, Atlanta, GA 30301"
21,252333,Lightning Charging Cable,1,14.95,10/26/19 11:44,"354 12th St, Atlanta, GA 30301"
22,252334,Macbook Pro Laptop,1,1700.0,10/29/19 15:25,"864 Adams St, Boston, MA 02215"
23,252335,Bose SoundSport Headphones,1,99.99,10/04/19 11:09,"546 Chestnut St, Seattle, WA 98101"
24,252336,34in Ultrawide Monitor,1,379.99,10/05/19 13:16,"759 Walnut St, San Francisco, CA 94016"
25,252337,Apple Airpods Headphones,1,150.0,10/21/19 05:41,"189 South St, Seattle, WA 98101"
26,252338,Google Phone,1,600.0,10/19/19 14:55,"579 Jackson St, San Francisco, CA 94016"
27,252338,USB-C Charging Cable,1,11.95,10/19/19 14:55,"579 Jackson St, San Francisco, CA 94016"
28,252339,Apple Airpods Headphones,1,150.0,10/03/19 16:36,"620 River St, Atlanta, GA 30301"
29,252340,AAA Batteries (4-pack),3,2.99,10/10/19 11:16,"619 Hill St, New York City, NY 10001"
30,252341,AA Batteries (4-pack),1,3.84,10/11/19 20:33,"575 Sunset St, Atlanta, GA 30301"
31,252342,Bose SoundSport Headphones,1,99.99,10/23/19 15:57,"755 Lake St, Los Angeles, CA 90001"
32,252343,Bose SoundSport Headphones,1,99.99,10/02/19 17:18,"875 14th St, Los Angeles, CA 90001"
33,252344,AAA Batteries (4-pack),1,2.99,10/20/19 10:37,"250 7th St, San Francisco, CA 94016"
34,252345,Google Phone,1,600.0,10/24/19 22:29,"547 6th St, San Francisco, CA 94016"
35,252346,27in FHD Monitor,1,149.99,10/13/19 12:04,"879 9th St, San Francisco, CA 94016"
36,252347,AA Batteries (4-pack),1,3.84,10/04/19 15:46,"86 Maple St, San Francisco, CA 94016"
37,252348,USB-C Charging Cable,1,11.95,10/18/19 21:35,"993 Madison St, San Francisco, CA 94016"
38,252349,AAA Batteries (4-pack),1,2.99,10/29/19 15:40,"899 Church St, Austin, TX 73301"
39,252350,Bose SoundSport Headphones,1,99.99,10/01/19 18:38,"722 Lincoln St, Seattle, WA 98101"
40,252351,Google Phone,1,600.0,10/16/19 09:54,"699 Oak St, Seattle, WA 98101"
41,252352,USB-C Charging Cable,1,11.95,10/25/19 12:56,"254 Lakeview St, Atlanta, GA 30301"
42,252353,AAA Batteries (4-pack),1,2.99,10/24/19 17:00,"398 Ridge St, Atlanta, GA 30301"
43,252354,Wired Headphones,2,11.99,10/07/19 17:00,"954 Spruce St, Boston, MA 02215"
44,252355,Google Phone,1,600.0,10/26/19 17:46,"890 10th St, Los Angeles, CA 90001"
45,252356,27in FHD Monitor,1,149.99,10/19/19 19:18,"108 North St, Atlanta, GA 30301"
46,252357,Bose SoundSport Headphones,1,99.99,10/25/19 12:50,"876 Pine St, Los Angeles, CA 90001"
47,252358,AA Batteries (4-pack),1,3.84,10/06/19 14:24,"296 1st St, San Francisco, CA 94016"
48,252359,34in Ultrawide Monitor,1,379.99,10/04/19 17:25,"540 Jefferson St, Los Angeles, CA 90001"
49,252360,Apple Airpods Headphones,1,150.0,10/16/19 21:30,"729 2nd St, San Francisco, CA 94016"
50,252361,USB-C Charging Cable,1,11.95,10/01/19 12:51,"748 Lincoln St, Los Angeles, CA 90001"
51,252362,Bose SoundSport Headphones,1,99.99,10/02/19 14:00,"802 Chestnut St, San Francisco, CA 94016"
52,252363,Wired Headphones,1,11.99,10/30/19 19:05,"915 4th St, San Francisco, CA 94016"
53,252364,34in Ultrawide Monitor,1,379.99,10/17/19 12:05,"435 14th St, Austin, TX 73301"
54,252365,Lightning Charging Cable,1,14.95,10/15/19 15:22,"104 River St, Seattle, WA 98101"
55,252366,27in 4K Gaming Monitor,1,389.99,10/07/19 15:38,"559 Walnut St, Austin, TX 73301"
56,252367,Lightning Charging Cable,1,14.95,10/03/19 10:38,"733 Forest St, San Francisco, CA 94016"
57,252368,USB-C Charging Cable,1,11.95,10/20/19 19:44,"50 Jefferson St, Austin, TX 73301"
58,252369,Bose SoundSport Headphones,2,99.99,10/06/19 19:23,"82 West St, Atlanta, GA 30301"
59,252370,Wired Headphones,1,11.99,10/28/19 11:44,"427 Meadow St, Atlanta, GA 30301"
60,252371,Apple Airpods Headphones,1,150.0,10/11/19 11:11,"454 Adams St, Dallas, TX 75001"
